Unnamed: 0.1,Unnamed: 0,Age,Workclass,Fnlwgt,Education,Education-num,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Income
1,95,46,Private,113364,Some-college,13,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,True
14,170,26,Private,147393,Bachelors,15,Married-civ-spouse,Sales,Husband,White,Female,0,0,20,United-States,True
3,181,27,Private,204928,Bachelors,5,Never-married,Machine-op-inspct,Husband,White,Female,0,0,40,Mexico,True
17,60,46,Self-emp-inc,147393,Bachelors,13,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,60,United-States,False
18,59,37,Private,248895,9th,13,Married-civ-spouse,Tech-support,Husband,White,Female,0,0,40,United-States,True
18,12,61,Private,149507,Bachelors,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,False
11,12,52,Self-emp-inc,72743,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,True
15,42,46,Self-emp-not-inc,204928,Masters,9,Divorced,Adm-clerical,Husband,White,Male,0,0,40,United-States,True
9,56,46,Self-emp-not-inc,205440,HS-grad,13,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,True
2,247,30,Private,142968,Some-college,9,Married-civ-spouse,Other-service,Unmarried,White,Male,0,0,18,United-States,False
17,59,26,Private,142968,Bachelors,10,Separated,Exec-managerial,Not-in-family,Black,Female,0,0,20,United-States,True
12,59,43,Self-emp-not-inc,251521,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,0,0,50,United-States,True
12,28,30,Private,72743,HS-grad,5,Widowed,Adm-clerical,Unmarried,White,Female,0,0,50,United-States,True
12,12,52,Private,72743,HS-grad,5,Widowed,Craft-repair,Unmarried,White,Male,0,0,40,Mexico,True
0,56,33,Self-emp-not-inc,248895,Some-college,15,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,True
2,181,52,Private,124068,Some-college,10,Widowed,Adm-clerical,Husband,White,Female,0,0,35,United-States,True
