Unnamed: 0,Age,Workclass,Fnlwgt,Education,Education-num,Marital-status,Occupation,Relationship,Race,Sex,Capital-gain,Capital-loss,Hours-per-week,Native-country,Income
465248528,40,sdv-pii-n1r4z,24488,sdv-pii-3e7zt,8,sdv-pii-87m11,sdv-pii-0bab0,sdv-pii-1k9x2,White,Male,0,0,49,United-States,1
914244538,60,sdv-pii-m9itd,351402,sdv-pii-og57o,15,sdv-pii-w9qdo,sdv-pii-t4dfg,sdv-pii-7b8rm,White,Female,0,0,18,United-States,1
18953551,27,sdv-pii-106jh,358266,sdv-pii-4fcdi,7,sdv-pii-7skfy,sdv-pii-n06z3,sdv-pii-8z3j8,White,Female,0,0,18,United-States,1
404217098,28,sdv-pii-850yw,14830,sdv-pii-moy4e,12,sdv-pii-nf8oo,sdv-pii-7yh9u,sdv-pii-ekmjs,White,Female,0,0,18,United-States,1
99739788,40,sdv-pii-ulqse,49054,sdv-pii-2v3jx,6,sdv-pii-63o8n,sdv-pii-mp63a,sdv-pii-re9gg,White,Female,0,0,47,United-States,1
415524277,35,sdv-pii-shf9u,61149,sdv-pii-mn4v8,10,sdv-pii-wr2mm,sdv-pii-0a1iv,sdv-pii-43qq6,White,Female,0,0,18,United-States,1
998211771,53,sdv-pii-47pn8,935586,sdv-pii-wq6t9,6,sdv-pii-gttyt,sdv-pii-lrrbs,sdv-pii-quu71,White,Female,0,0,56,Mexico,1
320061363,44,sdv-pii-qinq6,767607,sdv-pii-pshwf,6,sdv-pii-r7d59,sdv-pii-tz0ir,sdv-pii-f0f2r,White,Female,0,0,19,United-States,1
50921313,61,sdv-pii-9gou2,961217,sdv-pii-shnxa,7,sdv-pii-bnobe,sdv-pii-qk7h3,sdv-pii-mnvuk,White,Male,0,0,18,United-States,1
912279806,61,sdv-pii-tp3u8,688743,sdv-pii-67qbm,8,sdv-pii-uez0o,sdv-pii-p70wc,sdv-pii-m4zes,White,Male,0,0,28,United-States,1
403899735,49,sdv-pii-2kknh,885376,sdv-pii-vhgdm,6,sdv-pii-bdnnf,sdv-pii-txaza,sdv-pii-6w5ol,Black,Female,0,0,20,United-States,1
715235355,35,sdv-pii-nhd40,42710,sdv-pii-ezioy,7,sdv-pii-w79r2,sdv-pii-zqnpb,sdv-pii-8uvdy,Black,Female,0,0,58,United-States,1
206376556,45,sdv-pii-yf7n4,240600,sdv-pii-bo1pe,12,sdv-pii-yoi36,sdv-pii-7d50r,sdv-pii-cmt33,White,Male,0,0,51,United-States,0
542192517,61,sdv-pii-po5z6,914673,sdv-pii-d3m0a,6,sdv-pii-y8rw2,sdv-pii-fpqwq,sdv-pii-smw7v,White,Female,0,0,24,United-States,0
253952192,39,sdv-pii-1l65h,19780,sdv-pii-wjm35,13,sdv-pii-spe9w,sdv-pii-cgfz3,sdv-pii-dyoal,White,Female,0,0,18,United-States,0
280369798,26,sdv-pii-sk15e,215045,sdv-pii-1vj3x,6,sdv-pii-wzxrg,sdv-pii-awi9w,sdv-pii-nksda,White,Male,0,0,18,United-States,0
